Reporte de valorizado;Fecha Corte;8/09/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codigo Articulo;Descripcion;Nombre Comercial;Cod Barras;Invima;CUM;CODIGO ATC;Unidades;Grupo;Sub Grupo;Familia;cod Bod;Bodega;ID Sistema;Estado;Presentacion;Embalaje;Principio Activo;Forma Farmaceutica;Concentracion;Unidad Medida Rips;Codigo Parametro contable;Descripcion Parametro contable;% IVA;Alto Costo;Cadena de Frio;Categoria;Precio Maximo;Precio Maximo VMR;Controlado;Costo Promedio;Ult Costo Compras;Valorizado Total;Mercancia en Consignación
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;90;NUTREO;General;General;465;DISP. MENNAR TORIBIO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;37618,074;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;469;DISP. MENNAR CALDONO 2;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;420;NUTREO;General;General;475;DISP. MENNAR 4;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;175551,012;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;300;NUTREO;General;General;486;DISP. MENNAR PIAMONTE 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;125393,58;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;5110;NUTREO;General;General;495;BODEGA PRINCIPAL CEDI;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;2135870,646;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;500;NUTREO;General;General;509;DISP. MENNAR 5;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;208989,3;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;450;NUTREO;General;General;524;DISP. MENNAR 2;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;188090,37;NO
;N00004;ALIMENTO PARA PROPOSITOS MEDICOS ESPECIALES POLIMERICO SOB X 60 G CJA X 100 - INSTITUCIONAL;PROKLEIN NET;7703460030558;RSA-0007150-2018;;;29;BOYDORR;General;General;475;DISP. MENNAR 4;16738;N;SOBRE;100;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;5475,3638;5460;158785,5502;NO
;N00004;ALIMENTO PARA PROPOSITOS MEDICOS ESPECIALES POLIMERICO SOB X 60 G CJA X 100 - INSTITUCIONAL;PROKLEIN NET;7703460030558;RSA-0007150-2018;;;265;BOYDORR;General;General;495;BODEGA PRINCIPAL CEDI;16738;N;SOBRE;100;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;5475,3638;5460;1450971,407;NO
;N00004;ALIMENTO PARA PROPOSITOS MEDICOS ESPECIALES POLIMERICO SOB X 60 G CJA X 100 - INSTITUCIONAL;PROKLEIN NET;7703460030558;RSA-0007150-2018;;;21;BOYDORR;General;General;509;DISP. MENNAR 5;16738;N;SOBRE;100;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;5475,3638;5460;114982,6398;NO
